epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.454,0.6573,0.72922,1.18042,0.64744,0.58026,0.59221,0.41226,1.05293,1.77818,1.74957,0.000660045,0.000660045,0.000660045
43,232.746,0.66014,0.69665,1.17381,0.69209,0.68722,0.72787,0.51378,1.05247,1.18441,1.75281,0.000649046,0.000649046,0.000649046
44,238.085,0.6413,0.65675,1.1563,0.69063,0.68893,0.68917,0.47108,1.09319,1.54256,1.7543,0.000638047,0.000638047,0.000638047
45,243.39,0.65452,0.67536,1.16997,0.77349,0.67545,0.74342,0.50591,1.01574,1.21508,1.69268,0.000627048,0.000627048,0.000627048
46,248.632,0.62166,0.63868,1.14932,0.69308,0.70474,0.71801,0.49573,1.05212,1.28168,1.79132,0.000616049,0.000616049,0.000616049
47,253.808,0.62062,0.64141,1.14953,0.68986,0.67567,0.70735,0.50606,1.02237,1.27474,1.74239,0.000605051,0.000605051,0.000605051
48,259.014,0.59791,0.62302,1.14371,0.73036,0.73822,0.77448,0.56257,0.96375,1.20291,1.6615,0.000594052,0.000594052,0.000594052
49,264.21,0.59266,0.60343,1.12834,0.70095,0.71718,0.74099,0.51388,0.98631,1.30397,1.63936,0.000583053,0.000583053,0.000583053
50,269.396,0.59459,0.6002,1.13553,0.7877,0.69118,0.75922,0.56085,0.96059,1.30131,1.63867,0.000572054,0.000572054,0.000572054
51,274.583,0.57501,0.59213,1.12417,0.77021,0.66088,0.75495,0.53728,0.98188,1.20426,1.65619,0.000561055,0.000561055,0.000561055
52,280.166,0.58316,0.5828,1.11051,0.73946,0.72004,0.77121,0.57452,0.9504,1.18273,1.62024,0.000550056,0.000550056,0.000550056
53,285.487,0.57324,0.56067,1.11558,0.72389,0.65294,0.69026,0.4887,1.10308,1.42359,1.86715,0.000539057,0.000539057,0.000539057
54,290.818,0.56814,0.56365,1.1108,0.6906,0.72456,0.74314,0.52876,0.99056,1.22604,1.66268,0.000528058,0.000528058,0.000528058
55,296.163,0.55513,0.53097,1.1024,0.76872,0.691,0.73764,0.53342,0.99102,1.24401,1.68142,0.000517059,0.000517059,0.000517059
56,301.576,0.56126,0.57747,1.10441,0.75665,0.74734,0.7901,0.56404,0.93347,1.08408,1.61565,0.00050606,0.00050606,0.00050606
57,306.933,0.56086,0.54391,1.10972,0.75943,0.7357,0.78944,0.58571,0.91299,1.05495,1.60166,0.000495062,0.000495062,0.000495062
58,312.265,0.55635,0.54261,1.09094,0.73175,0.75798,0.75897,0.55883,0.98677,1.13587,1.68191,0.000484063,0.000484063,0.000484063
59,317.561,0.53309,0.52178,1.08838,0.74673,0.75168,0.76818,0.56888,0.95877,1.06271,1.6738,0.000473064,0.000473064,0.000473064
60,322.87,0.51672,0.51572,1.08014,0.76247,0.69556,0.75072,0.56884,0.95163,1.1014,1.68269,0.000462065,0.000462065,0.000462065
