epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,486.364,1.20642,1.95396,1.79699,0.34201,0.62443,0.42322,0.26705,1.28251,1.89128,2.0242,0.00080763,0.00080763,0.00080763
43,498.766,1.18672,1.96593,1.79968,0.34262,0.61985,0.41166,0.25289,1.31047,1.81283,2.04586,0.000800231,0.000800231,0.000800231
44,509.887,1.17611,1.8948,1.78499,0.31737,0.55332,0.42023,0.25325,1.36555,1.87023,2.07355,0.000792832,0.000792832,0.000792832
45,521.092,1.15463,1.85639,1.75831,0.33834,0.58497,0.43426,0.28272,1.25772,1.74856,1.9506,0.000785433,0.000785433,0.000785433
46,533.218,1.1601,1.8411,1.73945,0.326,0.60918,0.41876,0.26782,1.22876,1.81683,1.96613,0.000778033,0.000778033,0.000778033
47,544.337,1.16604,1.81317,1.74012,0.24911,0.45802,0.33143,0.19662,1.48699,2.39684,2.21907,0.000770634,0.000770634,0.000770634
48,555.347,1.13674,1.76692,1.72161,0.37514,0.59502,0.45937,0.29769,1.21769,1.68047,1.96132,0.000763235,0.000763235,0.000763235
49,567.5,1.11224,1.76777,1.70174,0.38876,0.55283,0.43576,0.28863,1.20744,1.8341,1.93977,0.000755836,0.000755836,0.000755836
50,578.528,1.13966,1.76665,1.74256,0.38379,0.38485,0.38843,0.22142,1.52192,2.07858,2.24379,0.000748436,0.000748436,0.000748436
51,589.82,1.13585,1.77918,1.72646,0.46053,0.56312,0.43981,0.28477,1.23684,2.09736,1.93079,0.000741037,0.000741037,0.000741037
52,601.04,1.10772,1.69464,1.70196,0.43335,0.62561,0.48789,0.31766,1.20702,1.67459,1.93047,0.000733638,0.000733638,0.000733638
53,613.167,1.07353,1.68409,1.6831,0.38876,0.64158,0.47178,0.31537,1.15118,1.66625,1.85755,0.000726238,0.000726238,0.000726238
54,624.456,1.06893,1.70516,1.67451,0.41501,0.70222,0.52606,0.34233,1.21795,1.67143,1.90569,0.000718839,0.000718839,0.000718839
55,636.575,1.06191,1.64934,1.66253,0.38784,0.60933,0.47934,0.29022,1.33485,1.72322,2.05861,0.00071144,0.00071144,0.00071144
56,648.111,1.08665,1.70944,1.68367,0.43983,0.60633,0.50271,0.32753,1.27886,1.65299,2.00247,0.000704041,0.000704041,0.000704041
57,659.338,1.05301,1.63944,1.64681,0.4891,0.59515,0.54429,0.3453,1.26843,1.67996,1.96454,0.000696641,0.000696641,0.000696641
58,671.654,1.06343,1.6214,1.65501,0.40264,0.61854,0.4929,0.31007,1.21873,1.77815,1.94915,0.000689242,0.000689242,0.000689242
59,682.873,1.02119,1.59008,1.6201,0.46166,0.65987,0.53328,0.34354,1.19161,1.61234,1.90977,0.000681843,0.000681843,0.000681843
60,694.445,1.05092,1.57098,1.64833,0.47126,0.56921,0.52965,0.33146,1.2273,1.62998,1.9409,0.000674444,0.000674444,0.000674444
61,705.693,1.05659,1.58055,1.65547,0.37093,0.54705,0.47881,0.30939,1.23709,1.85414,1.95829,0.000667044,0.000667044,0.000667044
62,716.987,1.01473,1.54151,1.6302,0.45401,0.59571,0.50519,0.32049,1.19469,1.69386,1.90078,0.000659645,0.000659645,0.000659645
63,728.161,1.02339,1.52845,1.62945,0.44796,0.61356,0.50211,0.32907,1.22407,1.65703,1.93516,0.000652246,0.000652246,0.000652246
64,739.308,0.97702,1.49466,1.58265,0.50812,0.62439,0.57454,0.36869,1.22003,1.57494,1.88723,0.000644847,0.000644847,0.000644847
65,751.723,0.98104,1.50265,1.57591,0.4385,0.67828,0.54354,0.33774,1.22579,1.54599,1.9492,0.000637447,0.000637447,0.000637447
66,762.897,0.98173,1.4705,1.59256,0.51667,0.64449,0.59062,0.37817,1.22388,1.47544,1.96907,0.000630048,0.000630048,0.000630048
67,774.98,1.00011,1.49392,1.59465,0.43031,0.58128,0.5337,0.33688,1.21069,1.66838,1.92094,0.000622649,0.000622649,0.000622649
68,786.216,1.01039,1.49568,1.59707,0.52452,0.57295,0.55708,0.34979,1.22578,1.64403,1.89342,0.00061525,0.00061525,0.00061525
69,797.739,0.9567,1.48077,1.5624,0.50528,0.54786,0.52576,0.32173,1.26653,1.7188,1.967,0.00060785,0.00060785,0.00060785
70,809.148,0.99937,1.47253,1.60945,0.53197,0.60564,0.57425,0.38301,1.17944,1.59768,1.88574,0.000600451,0.000600451,0.000600451
71,821.317,0.98253,1.4675,1.56837,0.4877,0.59481,0.5731,0.3634,1.19346,1.55677,1.88005,0.000593052,0.000593052,0.000593052
72,832.476,0.9765,1.42449,1.58624,0.58279,0.58926,0.60278,0.38854,1.26315,1.48848,2.0037,0.000585653,0.000585653,0.000585653
73,844.487,0.94708,1.41355,1.5543,0.40015,0.54866,0.5029,0.33324,1.16136,1.8272,1.93895,0.000578253,0.000578253,0.000578253
74,855.648,0.95482,1.39621,1.55699,0.47,0.57968,0.51572,0.33816,1.29287,1.7074,2.06024,0.000570854,0.000570854,0.000570854
75,866.968,0.96494,1.42647,1.58551,0.50333,0.59473,0.57115,0.36906,1.22029,1.508,1.90868,0.000563455,0.000563455,0.000563455
76,878.159,0.9288,1.36285,1.52547,0.52843,0.62576,0.57705,0.38888,1.16934,1.52682,1.87777,0.000556055,0.000556055,0.000556055
77,890.1,0.9174,1.33825,1.52988,0.52417,0.64394,0.6166,0.43088,1.09379,1.48703,1.81937,0.000548656,0.000548656,0.000548656
78,901.854,0.88866,1.29684,1.49135,0.54163,0.63841,0.60285,0.39278,1.13228,1.49664,1.82138,0.000541257,0.000541257,0.000541257
79,913.029,0.92191,1.33352,1.52804,0.47479,0.63509,0.58331,0.39118,1.21353,1.54258,1.94059,0.000533858,0.000533858,0.000533858
80,924.249,0.92943,1.31074,1.52207,0.64235,0.63597,0.62835,0.40451,1.22187,1.46029,1.91811,0.000526458,0.000526458,0.000526458
81,935.832,0.91849,1.31631,1.5171,0.6042,0.61258,0.59172,0.38472,1.18793,1.53885,1.9202,0.000519059,0.000519059,0.000519059
82,947.044,0.89265,1.27089,1.51221,0.51852,0.62028,0.60484,0.38794,1.198,1.52378,1.91308,0.00051166,0.00051166,0.00051166
83,958.328,0.91654,1.2942,1.50927,0.65923,0.59536,0.63767,0.41853,1.1854,1.43124,1.91078,0.000504261,0.000504261,0.000504261
